I have a headache.	Masakit ulo ko.
Drink milk to strengthen your bones.	Uminom ka ng gatas upang tumibay ang iyong buto.
It is good to drink milk for your illness.	Makabubuti ang pag-inom ng gatas para sa iyong karamdaman.
It is good to drink milk for your illness.	Makabubuti ang pag-inom ng gatas para sa iyong sakit.
Did you drink milk?	Uminom ka ba ng gatas?
Do you drink milk?	Umiinom ka ba ng gatas?
Do you have milk?	May gatas ka ba?
That comes with milk.	May kasamang gatas iyan.
I love milk.	Mahilig ako sa gatas.
Do you love milk?	Mahilig ka ba sa gatas?
Do you want milk?	Gusto mo ng gatas?
Add milk for better taste.	Lagyan mo ng gatas para sumarap.
Cow's milk is delicious.	Masarap ang gatas ng baka.
I don't like to drink milk.	Ayoko uminom ng gatas.
Kids should drink milk.	Dapat uminom ang mga bata ng gatas.
You buy milk.	Bumili ka ng gatas.
There is no more milk.	Wala ng gatas.
I have no more money to buy milk.	Wala na akong pera pambili ng gatas.
Lucia is selling milk.	Nagbebenta si Lucia ng gatas.
You buy milk for adults.	Bilhin mo yung gatas para sa matatanda.
I am drinking milk.	Ako ay umiinom ng gatas.
He is drinking milk.	Siya ay umiinom ng gatas.
She is drinking milk.	Siya ay umiinom ng gatas.
I already drank milk.	Ako ay uminom na ng gatas.
I already drank milk.	Uminom na ako ng gatas.
He already drank milk.	Uminom na siya ng gatas.
She already drank milk.	Uminom na siya ng gatas.
I will drink milk.	Iinom ako ng gatas.
I will always drink milk from now on.	Iinom ako laki ng gatas simula ngayon.
His bones got stronger by drinking milk.	Tumibay ang buto niya dahil sa pag-inom ng gatas.
Her bones got stronger by drinking milk.	Tumibay ang buto niya dahil sa pag-inom ng gatas.
I am prohibited to drink milk.	Bawal ako uminom ng gatas.
She is prohibited to drink milk.	Bawal siya uminom ng gatas.
He is prohibited to drink milk.	Bawal siya uminom ng gatas.
I am now prohibited to drink milk.	Bawal na akong uminom ng gatas.
He is now prohibited to drink milk.	Bawal na siyang uminom ng gatas.
She is now prohibited to drink milk.	Bawal na siyang uminom ng gatas.
The doctor forbade her to drink milk.	Pinagbawalan siya ng doktor na uminom ng gatas.
The doctor forbade him to drink milk.	Pinagbawalan siya ng doktor na uminom ng gatas.
Milk is now expensive.	Ang mahal na ng gatas ngayon.
Mangoes have been named the most widely consumed fruit in the world.	Ang mga mangga ay pinangalanang pinaka-kinakaing prutas sa mundo.
There are many different kinds of mangoes.	Maraming iba't ibang uri ng mangga.
Consuming fruits and vegetables of all kinds has long been associated with a reduced risk of many lifestyle-related health conditions.	Ang paggamit ng mga prutas at gulay ng lahat ng uri ay matagal na nauugnay sa isang pinababang panganib ng maraming kondisyon sa kalusugan na may kaugnayan sa pamumuhay.
Many studies have suggested that increasing consumption of plant foods like mangoes decreases the risk of obesity.	Maraming mga pag-aaral ang nagmungkahi na ang pagtaas ng pagkonsumo ng mga pagkaing halaman tulad ng mga mangga ay nagpapababa ng panganib ng labis na katabaan.
Many studies have suggested that increasing consumption of plant foods like mangoes decreases the risk of risk of diabetes and heart disease.	Maraming mga pag-aaral ang nagmungkahi na ang pagtaas ng pagkonsumo ng mga pagkaing halaman tulad ng mga mangga ay nababawasan ang panganib ng panganib ng diyabetis at sakit sa puso.
Mangoes can help protect and strengthen the body.	Ang mga mangga ay maaaring makatulong sa pagprotekta at pagpapalakas ng katawan.
The risk of developing asthma is lower in people who consume a high amount of certain nutrients.	Ang panganib ng pagkakaroon ng hika ay mas mababa sa mga tao na kumakain ng mataas na dami ng ilang mga nutrients.
Eating mangoes can help prevent asthma.	Ang pagkain ng mangga ay makakatulong upang maiwasan ang hika.
Eating mangoes can help reduce risk of cancer.	Ang pagkain ng mga mangga ay makakatulong upang mabawasan ang panganib ng kanser.
Mangoes are also great for your hair.	Mahusay din ang mga mangga para sa iyong buhok.
Vitamin content in mangoes help to ward off heart disease.	Ang nilalaman ng bitamina ng mga mangga ay tumutulong upang maiwasan ang sakit sa puso.
Eating mangoes can also help reduce blood pressure.	Ang pagkain ng mangga ay maaari ring makatulong na mabawasan ang presyon ng dugo.
That moment in the morning when tea drinkers take their first warm sip can be good to health.	Ang sandaling iyon sa umaga kapag ang mga uminom ng tsaa ay nagsisimulang maging malusog sa kalusugan.
Drinking tea can result to weight loss.	Ang pag-inom ng tsaa ay maaaring magresulta sa pagbaba ng timbang.
Tea may help stop progression of certain cancers.	Ang tsaa ay maaaring makatulong na itigil ang paglala ng ilang mga kanser.
Tea improves bone quality and strength.	Nagpapabuti ng tsaa ang kalidad at lakas ng buto.
Drinking tea was found to improve attention and facilitate better focus on tasks.	Ang pag-inom ng tsaa ay napag-alaman na pinapabuti ang atensyon at pinapahusay ang pagtuon sa mga gawain.
Drinking enough water can support skin, and muscle health.	Ang pag-inom ng sapat na tubig ay maaaring suportahan ang kalusugan ng balat at kalamnan.
Water helps the body's cells absorb nutrients and fight infections.	Tinutulungan ng tubig ang mga cell ng katawan na sumipsip ng mga sustansya at labanan ang mga impeksiyon.
Drinking a few glasses of warm or hot water each day might offer even more benefits.	Ang pag-inom ng ilang baso ng mainit o mainit na tubig bawat araw ay maaaring mag-alok ng mas maraming benepisyo.
Drinking hot water provides a range of additional health benefits.	Ang pag-inom ng mainit na tubig ay nagbibigay ng maraming karagdagang mga benepisyo sa kalusugan.
People have consumed hot drinks for thousands of years.	Ang mga tao ay umiinom na ng mainit na inumin sa loob ng libu-libong taon.
Hot water expands blood vessels.	Pinapalawak ng mainit na tubig ang mga daluyan ng dugo.
Sweating expels toxins and can help clean the pores.	Ang pagpapawis ay nagpapalabas ng mga toxin at maaaring makatulong sa paglilinis ng mga butas sa balat.
Drinking more water can help a person lose weight.	Ang pag-inom ng mas maraming tubig ay maaaring makatulong sa isang tao na mabawasan ng timbang.
Water also helps the body absorb nutrients, and it flushes out waste.	Ang tubig ay tumutulong din sa katawan na sumipsip ng mga sustansya, at ito ay nag-aalis ng basura.
Water helps the body absorb nutrients, and it flushes out waste.	Tinutulungan ng tubig ang katawan na sumipsip ang mga sustansya, at ito ay nag-aalis ng basura.
The primary risk of drinking hot water is one of being burned.	Ang pangunahing panganib ng pag-inom ng mainit na tubig ay ang mapaso.
Drinking hot water will not cure any diseases.	Ang pag-inom ng mainit na tubig ay hindi makagaling sa anumang sakit.
Water is essential for the kidneys to function.	Ang tubig ay mahalaga para sa mga bato upang makapagtrabaho.
Feeling dizzy when bending over is a common occurrence.	Pakiramdam nahihilo kapag yumuyuko ay isang karaniwang pangyayari.
A person should see a doctor if the dizziness is frequent or severe enough to interfere with daily activities.	Ang isang tao ay dapat na makita ang isang doktor kung ang pagkahilo ay madalas o malubhang sapat upang makagambala sa araw-araw na gawain.
A doctor will be able to help a person determine and treat the underlying cause.	Ang isang doktor ay maaaring makatulong sa isang tao na matukoy at gamutin ang nakatagong sanhi.
Most people who experience temporary dizziness when bending do not need medical intervention.	Karamihan sa mga tao na nakakaranas ng pansamantalang pagkahilo kapag ang baluktot ay hindi nangangailangan ng interbensyong medikal.
A new study of older women living in Australia finds that eating more vegetables might help to prevent clogged arteries.	Ang isang bagong pag-aaral sa mga nakakatandang kababaihan na naninirahan sa Australia ay natuklasan na ang pagkain ng mas maraming gulay ay maaaring makatulong upang mapigilan ang bara sa mga ugat.
Broccoli is a very popular vegetable that also happens to be high in protein.	Ang brokuli ay isang popular na gulay na nangyayari rin na mataas sa protina.
While low blood pressure might seem like a good thing to have, a person's blood pressure can occassionally be too low and cause problems.	Habang ang mababang presyon ng dugo ay maaaring mukhang isang magandang bagay na mayroon, ang presyon ng dugo ng isang tao ay maaaring paminsan-minsang maging masyadong mababa at magdulot ng mga problema.
Medication may be needed to raise blood pressure.	Maaaring kailanganin ang gamot upang itaas ang presyon ng dugo.
However, most doctors will only describe low blood pressure as a problem if a person has the symptoms of low blood pressure.	Gayunpaman, ang karamihan sa mga doktor ay sasabihin lamang na ang mababang presyon ng dugo bilang isang problema kung ang isang tao ay may mga sintomas ng mababang presyon ng dugo.
Low blood is not a concern if there are no symptoms present.	Ang mababang dugo ay hindi kailangang intindihin kung walang mga sintomas na naroroon.
It can be a sign that ot enough blood is getting to the organs.	Maaari itong maging isang senyas na ang sapat na dugo ay nakakakuha sa mga organo.
Low blood pressure can cause heart attack.	Ang mababang presyon ng dugo ay maaaring maging sanhi ng atake sa puso.
Eat more salt to prevent low blood pressure.	Kumain ng mas maraming asin upang maiwasan ang mababang presyon ng dugo.
Avoid alcoholic beverages to prevent low blood pressure.	Iwasan ang mga inuming nakalalasing upang maiwasan ang mababang presyon ng dugo.
Drinking more water can help increase blood volume.	Ang pag-inom ng mas maraming tubig ay maaaring makatulong sa pagtaas ng dami ng dugo.
Eating smaller, more frequent meals throughout the day may help with low blood pressure.	Ang pagkain ng mas maliit, mas madalas na pagkain sa buong araw ay maaaring makatulong sa mababang presyon ng dugo.
This is because the smaller meals help prevent drop in blood pressure associated with eating larger, heavier meals.	Ito ay dahil ang maliliit na pagkain ay nakakatulong na maiwasan ang pagbaba sa presyon ng dugo na nauugnay sa pagkain ng mas malaki, mas mabigat na pagkain.
Sadness and having a loss of interest or pleasure in daily activities - these are symptoms familiar to all of us.	Ang kalungkutan at pagkawala ng interes o kasiyahan sa pang-araw-araw na gawain - ito ay mga sintomas na pamilyar sa ating lahat.
But, if they persist and affect our life substantially, it may be depression.	Subalit, kung sila ay nagpapatuloy at nakakaapekto sa ating buhay nang malaki, maaaring ito ay depresyon.
Symptoms include lack of joy and reduced interest in things that used to bring a person happiness.	Kabilang sa mga sintomas ang kakulangan ng kagalakan at nabawasan ang interes sa mga bagay na dati ay nagdudulot ng kaligayahan ng isang tao.
Unintentional weight loss or low appetite is a symptom of depression.	Ang hindi sinasadya na pagbaba ng timbang o mababang gana ay isang sintomas ng depresyon.
Difficulty sleeping is a symptom of depression.	Ang hirap sa pagtulog ay sintomas ng depresyon.
Excessive sleeping is a symptom of depression.	Ang sobrang pagtulog ay sintomas ng depresyon.
Exercise may help against depression.	Maaaring makatulong ang ehersisyo laban sa depresyon.
Hypertension is another name for high blood pressure.	Ang hypertension ay isa pang pangalan para sa mataas na presyon ng dugo.
Blood pressure is the force exerted by the blood against the walls of the blood vessels.	Ang presyon ng dugo ay ang lakas na ipinapataw ng dugo laban sa mga pader ng mga daluyan ng dugo.
The pressure depends on the work being done by the heart and the resistance of the blood vessels.	Ang presyon ay depende sa trabaho na ginagawa ng puso at ang paglaban ng mga daluyan ng dugo.
Hypertension and heart disease are global health concerns.	Ang hypertension at sakit sa puso ay mga alalahanin sa kalusugan sa buong mundo.
Regular exercise can reduce blood pressure.	Ang regular na pag-eehersisyo ay maaaring mabawasan ang presyon ng dugo.
Smoking increases blood pressure.	Ang paninigarilyo ay pinapataas ang presyon ng dugo.
High blood pressure is common in old people.	Ang mataas na presyon ng dugo ay karaniwan sa mga matatanda.
An overweight person has high risk of having high blood pressure.	Ang isang taong sobra sa timbang ay may mataas na panganib na magkaroon ng mataas na presyon ng dugo.
He has high blood pressure.	Mataas ang presyon ng dugo niya.
She has high blood pressure.	Mataas ang presyon ng dugo niya.
I will go to the doctor because my blood pressure is high.	Magpupunta ako sa doktor dahil mataas ang presyon ng dugo ko.
You avoid salty foods to decrease your blood pressure.	Umiwas ka sa maalat na pagkain para bumaba ang presyon ng dugo mo.
Eating fruits and vegetables can reduce blood pressure.	Ang pagkain ng prutas at gulay ay nakakapagpababa ng presyon ng dugo.
The doctor said my blood pressure is high.	Sabi ng doktor mataas daw ang presyon ng dugo ko.
Mental health also includes a person's ability to enjoy life.	Kasama rin sa kalusugan ng isip ang kakayahan ng isang tao na masiyahan sa buhay.
