English	Filipino
Tom turned quickly.	Mabilis na umikot si Tom.
Get dressed quickly.	Bilisan mo ang pagbihis.
I quickly ate lunch.	Mabilisan akong kumain ng tanghalian.
Please move quickly.	Waring bilisan ang pagkilos.
We must act quickly.	Kailangan nating kumilos nang mabilis.
Do something quickly.	Gumawa ka agad ng kahit ano.
I had to act quickly.	Kinailangan kong kumilos agad.
Please do it quickly.	Waring gawin mo iyon kaagad.
Tom answered quickly.	Agarang sumagot si Tom.
Tom got bored quickly.	Nabagod agad si Tom.
Tom recovered quickly.	Nakabawi agad si Tom.
We should act quickly.	Kailangan nating kumilos agad.
You must come quickly.	Kailangan mong pumunta dito agad.
Don't move too quickly.	Huwag kang gumalaw nang masyadong mabilis.
It happened so quickly.	Nangyari ang lahat nang mabilisan.
Tom gets bored quickly.	Mabilis mabagot si Tom.
Tom will adapt quickly.	Nakakaangkop agad si Tom.
We need to act quickly.	Kailangan nating kumilos agad.
Fashions change quickly.	Mabilis magbago ang fashion.
The news quickly spread.	Mabilis ang pagkalat ng balita.
Tom got dressed quickly.	Mabilisang nagbihis si Tom.
We had to leave quickly.	Kailangan nating umalis agad.
We had to read the book quickly.	Kailangan nating basahin ang libro nang mabilisan.
Bad news travels quickly.	Mabilis ang pagkalan ng masamang balita.
Don't get up too quickly.	Huwag kang bumango nang sobrang bilis.
I got over my cold quickly.	Mabilisan akong gumaling mula sa sipon.
It'll happen quite quickly.	Lahat ng iyon ay mangyayari ng medyo mabilis.
We need to do this quickly.	Kailangan natin itong gawin nang mabilisan.
He made up his mind quickly.	Mabilisan siyang nakapagdesisyon.
My vacation went by quickly.	Mabilisang natapos ang aking bakasyon.
Tom usually eats too quickly.	Madalas ay sobrang bilis kumain ni Tom.
We have to move very quickly.	Kailangan nating kumilos nang mabilis.
I sometimes skate.	Minsan ay nag-iiskate ako.
I do that sometimes.	Ginagawa ko iyan minsan.
I sometimes watch TV.	Minsan ay nanonood ako ng TV.
It happens sometimes.	Nangyayari iyon minsan.
We sometimes see them.	Minsan ay nakikita namin sila.
He sometimes sleeps in.	Nakikitulog siya minsan.
He's strange sometimes.	Minsan ay kakaiba siya.
I sometimes get scared.	Minsan ay natatakot ako.
We sometimes meet them.	Minsan ay kinikita namin sila.
He sometimes loses hope.	Minsan ay nawawalan siya ng pag-asa.
I hate my job sometimes.	Ayoko sa trabaho ko minsan.
I sometimes cook dinner.	Minsan ay nagluluto ako ng tahanan.
We sometimes go fishing.	Minsan ay nangingisda kami.
You're strange sometimes.	Minsan ay kakaiba ka.
I hate this job sometimes.	Ayoko sa trabaho na ito minsan.
Tom sometimes wears a hat.	Minsan ay nagsusuot si Tom ng sumbrero.
Dreams sometimes come true.	Minsan ay nagiging totoo ang panaginip.
I listen to jazz sometimes.	Nakikinig ako sa jazz minsan.
We sometimes make mistakes.	Minsan ay nakakagawa tayo ng pagkakamali.
Tom sometimes appears on TV.	Minsan ay lumalabassi Tom sa TV.
We sometimes go for a drive.	Minsan ay umaalis kami para magmaneho.
Tom sometimes goes to Boston.	Minsan ay pumupunta si Tom sa Boston.
I go out sometimes for a beer.	Minsan ay lumalabas ako para uminom ng beer.
That's all it takes sometimes.	Minsan iyon lang ang kailangan.
Tom sometimes sings in French.	Minsan ay kumakanta si Tom sa French.
We sometimes swim in the lake.	Minsan ay lumalangoy kami sa lawa.
My father sometimes goes abroad.	Minsan ay nangingibambansaang tatay ko.
We sometimes go out for a drive.	Minsan ay lumalabas kami para magmaneho.
I don't understand him sometimes.	Hindi ko siya naiinitindihan minsan.
Tom still sometimes writes to me.	Minsan ay sumusulat pa rin sa akin si Tom.
Dick is sometimes late for school.	Minsan ay nahuhuli sa eskwelahan si Dick.
Everyone makes mistakes sometimes.	Lahat ay nagkakamali paminsan-minsan.
I sometimes hear rumors about her.	Minsan ay nakakarinig ako ng tsismis ukol sa kanya.
I still like to do that sometimes.	Minsan ay gusto ko pa rin iyong gawin.
Sometimes you're so unimaginative.	Minsan ay hindi malawak ang iyong imahinasyon.
He is sometimes absent from school.	Minsan ay lumiliban siya sa eskwela.
Happiness is sometimes hard to find.	Minsan ay mahirap hanapin ang kaligayahan.
Tom sometimes plays tennis with Mary.	Minsan ay nakikipaglaro ng tennis si Tom kay Mary.
Tom sometimes rips off his customers.	Minsan ay dinuduga ni Tom ang kanyang mga kustomer.
Do you sometimes study in the library?	Minsan ba ay nag-aaral ka sa library?
Tom doesn't understand Mary sometimes.	Minsan ay hindi naiintindihan ni Tom si Mary.
I sometimes wish we were still married.	Minsan ay hinihiling ko na kasal pa rin tayo.
Tom sometimes picks his nose in public.	Minsan ay nangungulangot si Tom sa publiko.
Tom sometimes wears sunglasses indoors.	Minsan ay nagsusuoot si Tom ng sunglasses sa loob ng bahay.
Tom sometimes chews with his mouth open.	Minsan ay ngumunguya si Tom nang nakanganga.
Do you sometimes drink red wine?	Minsan ba ay umiinom ka ng red wine?
Sometimes I go by bus and sometimes by car.	Minsan ay pumupunta ako sa pamamagitan ng bus at minsan sa pamamagitan ng kotse.
Sometimes it seems that everybody hates me.	Minsan parang kinamumunghian ako ng lahat.
I must call him sometimes during the morning.	Minsan ay kailangan ko siyang tawagan kapag umaga.
Even smart people are sometimes absent-minded.	Kahit ang mga matatalinong tao ay lumilipad ang isip minsan.
Good evening.	Magandang gabi.
Enjoy your evening.	I-enjoy mo ang gabi mo.
It took all evening.	Buong gabi ang kinuha nito.
Call me this evening.	Tawagan mo ako ngayong gabi.
How was your evening?	Kumusta ang iyong gabi?
Call Tom this evening.	Tawagan mo si Tom ngayong gabi.
Good evening, everyone.	Magandang gabi sa lahat.
Are you free this evening?	Libre ka ba ngayong gabi?
I'm at home every evening.	Nasa bahay ako tuwing gabi.
We had a pleasant evening.	Nagkaroon kami ng magandang gabi.
Will he come this evening?	Pupunta ba siya ngayong gabi?
I'm going out this evening.	Aalis ako ngayong gabi.
Beautiful evening, isn't it?	Maganda ang gabi ngayon, hindi ba?
I'm seeing her this evening.	Kikitain ko siya ngayong gabi.
Tom works the evening shift.	Si Tom ay nagtatrabaho nang panggabi.
We have a party this evening.	May party kami ngayong gabi.
I'll call you up this evening.	Tatawagan kita ngayong gabi.
Can you come on Sunday evening?	Maaari ka bang pumunta sa Linggo ng gabi?
I had a good time this evening.	Nag-enjoy ako ngayong gabi.
The evening he died was stormy.	Bumabagyo noong gabing namatay siya.
We can deliver it this evening.	Maipapadalanamin iyon ngayong gabi.
Will he be coming this evening?	Pupunta ba siya ngayong gabi?
I mean to be there this evening.	Ninanais kong pumunta doon nayong gabi.
I'll be seeing Tom this evening.	Magkikita kami ni Tom ngayong gabi.
It began to rain in the evening.	Nagsimulang umulan ngayong gabi.
You look beautiful this evening.	Mukha kang maganda ngayong gabi.
He came home late in the evening.	Late siya umuwi ngayong gabi.
It's likely to snow this evening.	Malakas ang tyansa na umulan ngayong gabi.
We have a party tomorrow evening.	May party kami bukas ng gabi.
Did you watch this evening's news?	Nanood ka ba ng balita ngayong gabi?
We watch television every evening.	Nanonood kami ng telebisyon tuwing gabi.
I'm expecting company this evening.	Nag-eexpect ako ng kasama ngayong gabi.
In the evening, I walk with my dog.	Sa gabi ay nilalakad ko ang aking aso.
Tom hasn't said a word all evening.	Hindi pa nagsasalita si Tom buong gabi.
We attended the party last evening.	Dumalo kami sa party noongnakaraang gabi.
We have a busy evening ahead of us.	Magiging abala tayo ngayong gabi.
We have dances on Saturday evening.	May mga sayaw kami sa Sabado ng gabi.
He spent the evening reading a book.	Ginugol niya ang kanyang gabi  sa pagbabasa ng libro.
I am going to watch TV this evening.	Manonood ako ng TV ngayong gabi.
I have some work to do this evening.	May ilang trabaho akong kailangang gawin ngayong gabi.
I usually study math in the evening.	Madalas ay nag-aarl ako ng math sa gabi.
I'm going to a party this Friday evening.	Pupunta ako sa isang party nayong Biyernes ng gabi.
The bar is fairly busy this evening.	Medyo abala ang bar ngayong gabi.
Tom gets drunk almost every evening.	Nalalasing si Tom kada-gabi.
Tom goes out drinking every evening.	Lumalabas si Tom para uminom gabi-gabi.
Tom is at home almost every evening.	Nasa bahay si Tom halos gabi-gabi.
We have supper at six every evening.	Nag-gagabihan kami tuwing alas-sais gabi-gabi.
We're having a party Friday evening.	Magkakaroon kami ng party ngayong Biyernes ng gabi.
I read the whole book in one evening.	Binasa ko ang buong libro sa isang gabi.
I've been spending evenings with Tom.	Ginuguguol ko ang aking mga gabi kasama si Tom.
I hate Sundays.	Kinamumunhian ko ang Linggo.
Today is Sunday.	Ngayon ay Linggo.
I work on Sunday.	Nagtatrabaho ako tuwing Linggo.
We met on a Sunday.	Nagkakilala kami sa isang Linggo.
I'll go on Sunday.	Pupunta ako sa Linggo.
We'll play on Sunday.	Maglalaro kami sa Linggo.
I'm free on Sunday.	Libre ako sa Linggo.
Tomorrow is Sunday.	Bukas ay Linggo.
Is it open on Sunday?	Bukas ba iyon pag Linggo?
Let's meet on Sunday.	Magkita tayo sa Linggo.
Tom works on Sundays.	Nagtatrabaho si Tom tuwing Linggo.
We'll meet on Sunday.	Magkikita kami sa Linggo.
Yesterday was Sunday.	Kahapon ay Linggo.
I work even on Sunday.	Nagtatrabaho ako kahit Linggo.
I'm leaving on Sunday.	Aalis ako sa Linggo.
Keep next Sunday free.	Ilibre mo ang susunod na Linggo.
Do you work on Sundays?	Nagtatrabaho ka ba tuwing Linggo?
I don't work on Sunday.	Hindi ako nagtatrabaho kapag Linggo.
What about next Sunday?	Sa susunod na Linggo kaya?
Are they open on Sunday?	Bukas ba sila sa susunod na Linggo?
I don't work on Sundays.	Hindi ako nagtatrabaho tuwing Linggo.
I had to work on Sunday.	Kailangan kong magtrabaho sa Linggo.
I'm not home on Sundays.	Wala ako sa bahay tuwing Linggo.
Sunday follows Saturday.	Sinusundan ng Linggo ang Sabado.
We never work on Sunday.	Hindi kami nagtatrabaho tuwing Linggo.
I go to church on Sundays.	Nagpupunta ako sa simbahan tuwing Linggo.
I'll be free next Sunday.	Libre ako sa susunod na Linggo.
What do you do on Sundays?	Ano ang ginagawa mo tuwing Linggo?
Do you deliver on Sundays?	Nagdedeliver ka ba tuwing Linggo?
I am forced to go to church on Sundays.	Napipilitan akong pumunta sa simbahan tuwing Linggo.
Let's eat out next Sunday.	Kumain tayo sa susunod na Linggo.
Tom never cooks on Sunday.	Hindi nagluluto si Tom tuwing Linggo.
Tom never works on Sunday.	Hindi nagtatrabaho si Tom tuwing Linggo.
What do you do on Sundays?	Ano ang ginagawa mo tuwing Linggo?
I am never free on Sundays.	Hindi ako nagiging libre tuwing Linggo.
I play tennis every Sunday.	Ngallaro ako ng tennis tuwing Linggo.
Can I go hiking next Sunday?	Maari ba ako mag-hike sa susunod na Linggo?
I work every day but Sunday.	Nagtatrabaho ako araw-araw maliban sa Linggo.
What did you do last Sunday?	Ano ang ginawa mo noong Linggo?
Tom bakes cookies on Sundays.	Nagbbake si Tom ng cookies tuwing Linggo.
We work-out every day but Sunday.	Nagwo-work-out kami araw-araw maliban kapag Linggo.
Where did you go last Sunday?	San ka pumunta noong nakaraang Linggo?
He had to work even on Sunday.	Kinailangan niyang magtrabaho kahit Linggo.
I am never at home except on Sundays.	Wala ako sa bahay maliban na lang pag Linggo.
I relaxed at home last Sunday.	Nag-relax ako sa bahay noong isang Linggo.
Is this store open on Sundays?	Bukas ba ang tindahang ito tuwing Linggo?
We often play cards on Sunday.	Madalas kaming maglaro ng baraha tuwing Linggo.
Can you come on Sunday evening?	Makakapunta ba kayo sa Linggo ng gabi?
He's always at home on Sundays.	Lagi siyang nasa bahay tuwing Linggo.
I don't go to school on Sunday.	Hindi ako pumupunta sa eskwelahan tuwing Linggo.
I usually walk.	Madalas akong maglakad.
We usually win.	Madalas kaming manalo.
I usually eat out.	Madalas akong kumain sa labas.
I don't usually cry.	Hindi ako madalas umiyak.
I usually eat a lot.	Madalas akong kumain nang marami.
I usually get up late.	Madalas akong bumabangon nang late.
I'm not usually wrong.	Hindi ako madalas magkamali.
Cats usually hate dogs.	Madalas ayaw ng pusa sa aso.
I usually stay up late.	Madalas ay natutulog ako nang late.
I usually wake up at 6.	Madalas akong magising ng alas-sais.
That one usually works.	Madalas gumagana iyan.
Tom is usually working.	Madalas nagtatrabaho si Tom.
Tom usually eats alone.	Madalas kumakain mag-isa si Tom.
Do I usually seem happy?	Madalas ba ako mukhang masaya?
I usually do the dishes.	Madala ako ang naghuhugas ng pinggan.
I usually get up at six.	Madalas ay gumigising ako ng alas-sais.
She usually wears jeans.	Madalas ay nagsusuot siya ng pantalon.
I usually wake up at six thirty.	Madalas ay nagigising ako ng alas sais y media.
I usually walk to school.	Madalas ay naglalakad ako papuntang eskwelahan.
He usually gets up at five forty five.	Madalas ay bumabangon siya ng alas singko kwarenta'y-singko.
I usually don't work here.	Hindi ako madalas magtrabaho dito.
I usually get up at eight thirty.	Madalas ay bumabango ako ng alas-otso y media.
I usually go home at five fifteen.	Madalas ay umuuwi ako ng alas-singko kinse.
I usually shower at night.	Madalas ay naliligp ako sa gabi.
I'm usually not this busy.	Hindi ako ganito kaabala madalas.
She usually gets up early.	Madalas siyang bumabangon nang maaga.
I usually don't wear a hat.	Hindi ako madalas magsuot ng sumbrero.
I usually don't wear a tie.	Hindi ako madalas magsuot ng kurbata.
I usually read while I eat.	Madalas ay nagbabasa ako habang kumakain.
When do you usually get up?	Kelan ka madalas bumabangon?
Do you usually travel alone?	Madalas ka bang maglakbay mag-isa?
I usually go to bed at nine.	Madalas akong natutulog ng alas-nuwebe.
We usually eat before seven.	Madalas ay kumakain kami bago mag-alas-siyete.
I don't usually eat red meat.	Hindi ako madalas kumain ng red meat.
I usually don't wear a watch.	Hindi ako madalas nagsusuot ng relo.
I usually wear a white shirt.	Madalas akong magsuot ng puting damit.
Tom usually eats ramen on that shop.	Madalas kumain si Tom ng ramen sa tindahang iyon.
Tom usually shows up on time.	Madalas  dumarating sa oras si Tom.
When does Tom usually arrive?	Tuwing kailan madalas dumarating si Tom?
You're usually so optimistic.	Madalas ay positibo ka.
I don't usually ask questions.	Hindi ako madalas magtanong.
